Date,Track URL,Position,Track Name,Artist,Streams,Country
5/12/2018,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,1,no tears left to cry,Ariana Grande,34872,Singapore
4/27/2018,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,1,no tears left to cry,Ariana Grande,36813,Malaysia
4/24/2018,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,1,no tears left to cry,Ariana Grande,43394,Malaysia
4/25/2018,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,1,no tears left to cry,Ariana Grande,5022,Romania
11/8/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,11134,Hungary
11/24/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,1704202,United States
11/29/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,24403,Taiwan
12/26/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,2611,Lithuania
11/13/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,26866,Hong Kong
12/31/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,3274,Latvia
11/13/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,3641,Malta
11/10/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,403730,Canada
12/5/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,4048,Latvia
11/9/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,4063283,United States
11/28/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,4244,Lithuania
11/14/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,426515,Australia
11/18/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,4564,South Africa
12/28/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,46956,New Zealand
11/26/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,543257,United Kingdom
12/17/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,54550,Malaysia
12/17/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,55019,Singapore
12/14/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,6001988,Global
12/5/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,633399,United Kingdom
11/23/2018,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1,"thank u, next",Ariana Grande,7003,Greece
3/6/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,10617,El Salvador
2/21/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,15609,Panama
2/24/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,15681,Panama
2/17/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,21301,Dominican Republic
3/3/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,29499,Paraguay
2/22/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,37760,Paraguay
3/2/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,38739,Costa Rica
